id,bs_year,bs_month,month_name,ad_start_date,days,created_at,updated_at
284,2023,8,Mangsir,1966-11-16,30,2026-08-22 00:00:00,2026-08-22 00:00:00
285,2023,9,Poush,1966-12-16,29,2026-08-22 00:00:00,2026-08-22 00:00:00
286,2023,10,Magh,1967-01-14,30,2026-08-22 00:00:00,2026-08-22 00:00:00
287,2023,11,Falgun,1967-02-13,29,2026-08-22 00:00:00,2026-08-22 00:00:00
288,2023,12,Chaitra,1967-03-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
289,2024,1,Baishak,1967-04-14,31,2026-08-22 00:00:00,2026-08-22 00:00:00
290,2024,2,Jestha,1967-05-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
291,2024,3,Ashad,1967-06-15,31,2026-08-22 00:00:00,2026-08-22 00:00:00
292,2024,4,Shrawan,1967-07-16,32,2026-08-22 00:00:00,2026-08-22 00:00:00
293,2024,5,Bhadra,1967-08-17,31,2026-08-22 00:00:00,2026-08-22 00:00:00
