id,name,district_id,created_at,updated_at
225,Chulachuli Rural Municipality,26,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
226,Phakphokthum Rural Municipality,26,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
227,Mai Jogmai Rural Municipality,26,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
228,Mangsebung Rural Municipality,26,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
229,Rong Rural Municipality,26,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
230,Sandakpur Rural Municipality,26,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
231,Phidim Municipality,27,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
232,Phalgunanda Rural Municipality,27,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
233,Hilihang Rural Municipality,27,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
234,Kummayak Rural Municipality,27,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
235,Miklajung Rural Municipality,27,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
236,Phalelung Rural Municipality,27,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
237,Tumbewa Rural Municipality,27,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
238,Yangwarak Rural Municipality,27,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
239,Phungling Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
240,Aathrai Tribeni Rural Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
241,Phaktanglung Rural Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
242,Maiwakhola Rural Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
243,Meringden Rural Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
244,Mikwakhola Rural Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
245,Pathibhara Yangwarak Rural Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
246,Sidingba Rural Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
247,Sirijangha Rural Municipality,28,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
248,Khandbari Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
249,Chainpur Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
250,Dharmadevi Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
251,Madi Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
252,Panchkhapan Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
253,Bhotkhola Rural Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
254,Chichila Rural Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
255,Makalu Rural Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
256,Sabhapokhari Rural Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
257,Silichong Rural Municipality,29,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
258,Myanglung Municipality,30,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
259,Laligurans Municipality,30,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
260,Aathrai Rural Municipality,30,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
261,Chhathar Rural Municipality,30,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
262,Menchhayayem Rural Municipality,30,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
263,Phedap Rural Municipality,30,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
264,Bhojpur Municipality,31,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
265,Shadananda Municipality,31,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
266,Aamchowk Rural Municipality,31,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
267,Arun Rural Municipality,31,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
268,Hatuwagadhi Rural Municipality,31,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
269,Pauwadungma Rural Municipality,31,2025-08-16 18:50:13.937799,2025-08-16 18:50:13.937799
